"","Fresh","Milk","Grocery","Frozen","Detergents_Paper","Delicassen"
"413",97,3605,12400,98,2970,62
"403",26539,4753,5091,220,10,340
"371",39679,3944,4955,1364,523,2235
"285",68951,4411,12609,8692,751,2406
"259",56083,4563,2124,6422,730,3321
"214",3317,6602,6861,1329,3961,1215
"212",12119,28326,39694,4736,19410,2870
"193",5509,1461,2251,547,187,409
"188",2438,8002,9819,6269,3459,3
"185",327,918,4710,74,334,11
"182",112151,29627,18148,16745,4948,8550
"127",19219,1840,1658,8195,349,483
"126",76237,3473,7102,16538,778,918
"102",1420,10810,16267,1593,6766,1838
"90",24904,3836,5330,3443,454,3178
"87",22925,73498,32114,987,20070,903
"86",16117,46197,92780,1026,40827,2944
